EBITDA_TO_Interest_Expense,Retained_Earnings_TO_Debt,EBIT_TO_Interest Expense,Debt_TO_EBITDA,Debt_TO_Capital,Asset_TO_Size,log10_Asset Size,EBITDA_Margin,Default_Flag
6.477370948,0.059018596,3.400060024,1.75211513,0.829106153,533776,5.727359043,0.763769552,0
9.153944175,0.229114799,4.717657767,1.49634422,0.802287437,625527000,8.79624606,0.827665855,0
4.045559148,0.170691203,1.690378397,2.822667051,1.365538622,792482000,8.898989407,0.813267123,0
4.632128815,-1.363288193,-16.92241153,2.205762282,-2.102053866,266090000,8.425028554,0.875375057,0
4.891861932,-1.277253568,3.080157486,1.942770519,-3.075024118,227991000,8.357917703,0.900320096,0
46.22065064,3.2825,36.21640736,0.856845584,0.290900024,132689,5.122834921,0.670703173,0
8.371332251,1.042344444,5.904232738,4.027085881,0.953962477,607541000,8.783575592,0.610535901,0
7.297123016,0.979623126,4.938988095,3.968119095,1.020800727,979995000,8.99122386,0.615655031,0
10.01428455,1.81268543,5.789952114,2.447603456,0.551667699,907705000,8.957944728,0.64635194,0
,,,0,0,38000000,7.579783597,0.040983607,0
,,,0,0,1837000,6.264109156,0.546325879,0
,,,0,0,618000,5.790988475,0.015298507,0
-8.554259043,-0.714688628,,-2.41822398,-1.399210734,14983000,7.17559878,-0.680560713,1
-5.624472574,-2.721146953,-6.025316456,-1.046511628,-1.015283843,590000,5.770852012,-1333,0
11.02803738,-544.6,11.02803738,0.004237288,0.080645161,335000,5.525044807,196.6666667,0
-147.3333333,-4.336842105,-147.9333333,-0.300904977,0.542414356,2139000,6.330210785,-19.2173913,0
-16.88157895,-6.101405622,-18.84210526,-0.776305534,-0.660915727,2603000,6.415474168,-3.448924731,0
-27.91764706,-6.481023102,-33.14117647,-0.510745891,-0.382938389,3644000,6.561578368,-11.19339623,0
2.961178046,,3.27978581,,,38907000,7.590027745,0.200453104,1
2.63362069,-0.037995338,2.237068966,7.021276596,-1.156957929,582000,5.764922985,0.299363057,1
,-0.339066339,,11.06646526,1.212913907,18652000,7.270725407,0.106567933,0
,-0.049171676,,175.7989691,11.27438017,54017000,7.732530461,0.073876618,0
,-0.321144452,,13.14678899,2.380398671,29918000,7.475932558,0.163320348,0
,-0.37480368,,2.437517091,3.201867816,36606000,7.563552275,0.445921229,0
,-0.596880907,,0.357191087,0.373917653,62788000,7.79787665,0.65056007,0
,-8.959427208,,0.089377133,0.105941846,29523000,7.470160487,0.650388457,0
,-5.407636739,,0.263243684,0.320967208,26291000,7.419807105,0.566743649,0
,-4.083279949,,1.267045455,0.614083399,19907000,7.299005816,0.294103605,0
,-4.352380952,,4.166666667,0.747508306,16429000,7.21561113,0.621710526,0
-6.046632124,-0.268547382,-6.365284974,-9.621251071,88.75889328,57099000,7.756628502,-5.856963614,0
-1.772857143,-0.449465555,-2.336428571,-14.39887188,0.843952203,99810000,7.999174056,-0.632679072,0
6.753551575,-0.000472381,,2.904152186,-2268.142857,47260000,7.674493717,0.242886021,0
11.27016445,0.051121234,,3.157379099,19.55292599,70697000,7.849400985,0.221972022,0
8.938309475,0.060938256,,2.365300286,16.40571277,100488000,8.002114203,0.277290222,0
5.758235206,0.038875173,,3.386544833,25.71830155,173618000,8.239594749,0.352732784,0
7.934589582,0.166013667,4.299131807,2.021548026,6.023377297,254966000,8.406482271,0.508935239,0
9.777956126,0.306011885,3.251649724,2.084031008,3.267753468,212310000,8.32697045,0.35801276,0
29.83555825,0.618792208,13.0151699,1.566027375,1.616017461,191675000,8.282565472,0.3275204,0
,,,,,18266000,7.261643453,-0.957168352,0
,,,,,18479000,7.266678465,0.435619142,0
,,,,,20936000,7.32089371,1.490541702,0
,,,,,22566000,7.353454584,1.290852228,0
19.67878788,1.395059029,18.94545455,1.40868494,0.34285286,19747000,7.295501126,1.003399258,0
29.46745562,2.302857143,,0.737951807,0.238265041,21552000,7.333487578,2.410454985,0
,2.726870623,,-7.273458445,0.190132455,18272000,7.261786087,-0.173005566,0
-0.50969177,-847.6666667,,-0.029925187,0.001276019,56304000,7.750539249,-0.130491377,1
,,,,,7572000,6.879210605,0.016875182,0
4.535294118,,1.794117647,,,10329000,7.014058277,0.009251926,0
3.631578947,,1.850877193,,,12973000,7.113040418,0.008108585,0
3.484330484,0.574091118,3.484330484,3.553556827,1.700978474,12778000,7.106462884,0.009976669,0
,,,0,0,38207000,7.582142938,-0.438095238,0
,,,0,0,59352000,7.773435358,0.693550757,0
63.98113208,101.2717391,-40.8490566,0.16278384,0.009874423,64427000,7.809067909,0.566299265,0
10.11677981,0.279643327,,1.24379182,0.67073087,2491593,6.396477102,0.769962138,0
14.65746333,0.986280453,,0.717066459,0.335197602,2762036,6.441229335,0.791515483,0
25.25292333,0.962494667,,1.022106153,0.438174195,3481109,6.541717622,0.758294732,0
13.48827454,0.890938099,,1.77474018,0.783124986,5675748,6.754023105,0.755568502,0
8.363268062,0.816010691,,1.872840304,0.903521072,6971100,6.843301313,0.859959731,0
-4.954279444,-0.3560477,-6.149231895,-3.900332226,-2.80861244,49208000,7.692035714,-0.999704775,1
,,,,,984000,5.992995098,-0.022587269,0
-1.5,,-30,,,982000,5.992111488,-0.006237006,0
,,,,,984000,5.992995098,0.13622291,0
-45,,-59,,,913000,5.960470778,-0.319148936,0
12.57142857,,6.571428571,,,928000,5.967547976,0.682170543,0
-15.4,,-23.4,,,836000,5.922206277,-0.36492891,0
-7.25,,-17.25,,,804000,5.905256049,-0.076719577,0
-3,,-8.571428571,,,755000,5.877946952,-0.056300268,0
11,,4.5,,,812000,5.909556029,0.133603239,0
-5.285714286,6.792207792,-5.285714286,-2.081081081,0.147227533,815000,5.911157609,-0.05958132,0
8.714285714,12.04545455,2,0.721311475,0.083018868,759000,5.880241776,0.18429003,0
2.035714286,28.59090909,1.7,0.077192982,0.034976153,673000,5.828015064,0.581632653,0
115.5,48.9375,84.5,0.069264069,0.020434227,869000,5.939019776,0.44,0
48,,48,0,0,903000,5.95568775,0.095427435,0
